RK,NAME,TEAM,POS,CMP,ATT,CMP%,YDS,AVG,LNG,TD,INT,SACK,RTG
27,Preston Stone,SMU,QB,206,344,59.9,3197,9.3,91,28,6,12,161.3
28,Spencer Rattler,SC,QB,275,399,68.9,3186,8.0,76,19,8,40,147.7
29,Kyle McCord,OSU,QB,229,348,65.8,3170,9.1,75,24,6,16,161.6
30,Jacob Zeno,UAB,QB,279,379,73.6,3126,8.2,80,20,9,28,155.6
31,Rocco Becht,ISU,QB,231,367,62.9,3120,8.5,82,23,8,13,150.7
32,Nicholas Vattiato,MTSU,QB,286,428,66.8,3092,7.2,72,23,13,32,139.2
33,Jayden Maiava,UNLV,QB,224,353,63.5,3085,8.7,84,17,10,11,147.1
34,E.J. Warner,TEM,QB,256,445,57.5,3076,6.9,75,23,12,8,127.3
35,J.J. McCarthy,MICH,QB,240,332,72.3,2991,9.0,54,22,4,19,167.4
36,Mikey Keene,FRES,QB,283,422,67.1,2976,7.1,65,24,10,19,140.3
37,Diego Pavia,NMSU,QB,221,366,60.4,2973,8.1,80,26,9,24,147.1
38,Graham Mertz,FLA,QB,261,358,72.9,2903,8.1,61,20,3,31,157.8
39,Kaidon Salter,LIB,QB,177,290,61.0,2876,9.9,75,32,6,9,176.6
40,Noah Fifita,ARIZ,QB,241,333,72.4,2869,8.6,69,25,6,19,165.9
41,Cade Klubnik,CLEM,QB,290,454,63.9,2844,6.3,69,19,9,28,126.3
42,Haynes King,GT,QB,226,367,61.6,2842,7.7,58,27,16,15,142.2
43,Jalen Milroe,ALA,QB,187,284,65.8,2834,10.0,79,23,6,44,172.2
44,Joe Milton III,TENN,QB,229,354,64.7,2813,7.9,83,20,5,16,147.3
45,Donovan Smith,HOU,QB,256,397,64.5,2801,7.1,60,22,13,26,135.5
46,Chevan Cordeiro,SJSU,QB,223,363,61.4,2773,7.6,63,20,4,19,141.6
47,Jordan Travis,FSU,QB,207,324,63.9,2756,8.5,80,20,2,14,154.5
48,Devin Leary,UK,QB,209,371,56.3,2746,7.4,72,25,12,22,134.3
49,Tyler Van Dyke,MIA,QB,219,333,65.8,2703,8.1,64,19,12,10,145.8
50,Sam Hartman,ND,QB,191,301,63.5,2689,8.9,76,24,8,14,159.5
51,Carter Bradley,USA,QB,221,326,67.8,2660,8.2,84,19,7,27,151.3
52,Dequan Finn,TOL,QB,201,317,63.4,2657,8.4,68,22,9,10,151.0
53,Will Howard,KSU,QB,219,357,61.3,2643,7.4,61,24,10,16,140.1
54,DJ Uiagalelei,ORST,QB,180,315,57.1,2638,8.4,75,21,7,11,145.0
55,Drew Allar,PSU,QB,233,389,59.9,2631,6.8,75,25,2,15,136.9
56,Darren Grainger,GAST,QB,244,358,68.2,2621,7.3,97,20,7,19,144.2
57,Jaylen Raynor,ARST,QB,166,285,58.2,2550,8.9,68,17,7,25,148.2
58,Keegan Shoemaker,SHSU,QB,264,419,63.0,2507,6.0,56,15,11,16,119.8
59,Frank Harris,UTSA,QB,218,336,64.9,2506,7.5,84,18,8,16,140.4
60,JT Daniels,RICE,QB,181,287,63.1,2443,8.5,80,21,7,15,153.8
61,Keyone Jenkins,FIU,QB,194,332,58.4,2422,7.3,80,11,11,37,124.0
62,Garrett Greene,WVU,WR,147,278,52.9,2406,8.7,75,16,4,5,141.7
62,Michael Pratt,TULN,QB,185,283,65.4,2406,8.5,50,22,5,20,158.9
64,Hudson Card,PUR,QB,215,365,58.9,2387,6.6,84,15,8,21,123.0
65,Rocky Lombardi,NIU,QB,189,327,57.8,2274,7.0,72,11,7,16,123.0
66,John Rhys Plumlee,UCF,QB,161,256,62.9,2271,8.9,86,15,8,12,150.5
67,Tommy Castellanos,BC,QB,189,330,57.3,2248,6.8,52,15,14,20,121.0
68,Ashton Daniels,STAN,QB,191,325,58.8,2247,6.9,97,11,8,27,123.1
69,Emory Jones,CIN,QB,197,322,61.2,2219,6.9,55,18,10,25,131.3
70,Kurtis Rourke,OHIO,QB,195,307,63.5,2207,7.2,50,11,5,14,132.5
71,Josh Hoover,TCU,QB,185,298,62.1,2206,7.4,81,15,9,8,134.8
72,Blake Shapen,BAY,QB,184,298,61.7,2188,7.3,71,13,3,25,135.8
73,Cam Fancher,MRSH,QB,202,308,65.6,2162,7.0,65,11,11,27,129.2
74,Grant Wilson,ODU,QB,178,312,57.1,2149,6.9,78,17,8,52,127.8
75,Jason Bean,KAN,QB,124,199,62.3,2130,10.7,80,18,7,6,175.0
76,Cole Snyder,BUFF,QB,203,372,54.6,2109,5.7,80,13,9,17,108.9
77,KJ Jefferson,ARK,QB,190,296,64.2,2107,7.1,65,19,8,42,139.8
78,Kyron Drones,VT,QB,166,285,58.2,2084,7.3,84,17,3,21,137.2
79,Ta'Quan Roberson,CONN,QB,197,338,58.3,2075,6.1,59,12,6,7,118.0
80,Dylan Hopkins,UNM,QB,157,282,55.7,2074,7.4,78,11,9,15,123.9
81,Tanner Mordecai,WIS,QB,204,314,65.0,2065,6.6,53,9,4,17,127.1
82,Hank Bachmeier,LT,QB,182,269,67.7,2058,7.7,64,10,5,20,140.5
83,Jalen Mayden,SDSU,QB,199,314,63.4,2031,6.5,69,10,9,23,122.5
84,Daniel Richardson,FAU,QB,208,318,65.4,2001,6.3,76,13,10,25,125.5
85,Andrew Peasley,WYO,QB,166,266,62.4,1991,7.5,89,20,5,26,146.3
86,Anthony Colandrea,UVA,QB,154,246,62.6,1958,8.0,75,13,9,20,139.3
87,Billy Wiles,USM,QB,162,301,53.8,1940,6.4,80,11,7,19,115.4
88,Connor Bazelak,BGSU,QB,168,278,60.4,1935,7.0,58,12,7,24,128.1
89,Grayson McCall,CCU,QB,151,224,67.4,1919,8.6,63,10,6,12,148.7
90,Luke Altmyer,ILL,QB,175,270,64.8,1883,7.0,54,13,10,34,131.9
91,Jase Bauer,CMU,QB,163,287,56.8,1881,6.6,70,12,8,20,120.1
92,Athan Kaliakmanis,MINN,QB,156,294,53.1,1838,6.3,39,14,9,21,115.2
93,Cooper Legas,USU,QB,138,213,64.8,1815,8.5,76,19,8,20,158.3
94,Ben Bryant,NU,QB,173,277,62.5,1807,6.5,80,13,6,26,128.4
95,Brennan Armstrong,NCSU,QB,160,262,61.1,1785,6.8,64,11,7,15,126.8
96,Austin Smith,EMU,QB,171,298,57.4,1775,6.0,68,9,7,30,112.7
97,Payton Thorne,AUB,QB,162,265,61.1,1755,6.6,53,16,10,31,129.1
98,Behren Morton,TTU,QB,182,293,62.1,1754,6.0,49,15,8,15,123.8
99,Taylen Green,BOIS,QB,121,212,57.1,1752,8.3,75,11,9,8,135.1
100,Gavin Wimsatt,RUTG,QB,138,289,47.8,1735,6.0,69,9,8,14,102.9
101,Kedon Slovis,BYU,QB,153,266,57.5,1716,6.5,65,12,6,12,122.1
102,Fernando Mendoza,CAL,QB,153,243,63.0,1708,7.0,54,14,10,16,132.8
103,Garrett Shrader,SYR,QB,134,214,62.6,1686,7.9,86,13,6,25,143.2
104,Brett Gabbert,M-OH,QB,111,187,59.4,1634,8.7,99,14,5,15,152.1
105,Will Rogers,MSST,QB,142,237,59.9,1626,6.9,65,12,4,14,130.9
106,Dante Moore,UCLA,QB,114,213,53.5,1610,7.6,81,11,9,25,125.6
107,Brendan Sorsby,IU,QB,135,236,57.2,1587,6.7,90,15,5,17,130.4
108,Bryson Barnes,UTAH,QB,142,242,58.7,1572,6.5,70,12,11,16,120.5
109,Alex Flinn,ECU,QB,159,290,54.8,1558,5.4,41,6,12,28,98.5
110,Mitch Griffis,WAKE,QB,124,207,59.9,1553,7.5,69,9,7,35,130.5
111,Chandler Morris,TCU,QB,133,203,65.5,1532,7.5,59,12,5,11,143.5
112,Taisun Phommachanh,MASS,QB,139,227,61.2,1507,6.6,71,6,6,19,120.4
113,Hayden Wolff,WMU,QB,148,226,65.5,1505,6.7,49,8,5,18,128.7
114,Trenton Bourguet,ASU,QB,151,248,60.9,1486,6.0,66,1,4,6,109.3
115,AJ Swann,VAN,QB,107,196,54.6,1457,7.4,56,12,7,11,130.1
116,Max Johnson,TAM,QB,118,190,62.1,1452,7.6,42,9,5,14,136.7
117,Zion Webb,JVST,QB,111,220,50.5,1437,6.5,63,6,8,9,107.1
117,Cade McConnell,UTEP,QB,92,172,53.5,1437,8.4,80,6,4,15,130.5
119,Jeff Undercuffler Jr.,AKR,QB,138,224,61.6,1378,6.2,46,4,9,21,111.1
120,Brendon Lewis,NEV,QB,131,236,55.5,1313,5.6,73,2,6,22,100.0
121,John Paddock,ILL,QB,85,143,59.4,1278,8.9,80,9,3,6,151.1
122,Trexler Ivey,CLT,QB,112,203,55.2,1263,6.2,51,4,10,16,104.1
123,Jiya Wright,ULM,QB,107,204,52.5,1246,6.1,68,10,8,23,112.1
124,Zeon Chriss,ULL,QB,102,153,66.7,1222,8.0,87,11,5,8,150.9
125,Maddux Madsen,BOIS,QB,81,132,61.4,1191,9.0,83,9,3,6,155.1
126,Ken Seals,VAN,QB,105,179,58.7,1183,6.6,85,11,4,13,130.0
127,Christian Veilleux,PITT,QB,94,184,51.1,1179,6.4,82,7,8,7,108.8
128,Deacon Hill,IOWA,QB,122,251,48.6,1152,4.6,54,5,8,24,87.4
129,Cardell Williams,TLSA,QB,79,132,59.8,1149,8.7,80,10,7,15,147.4
130,Ethan Garbers,UCLA,QB,98,146,67.1,1136,7.8,49,11,3,12,153.2
131,Katin Houser,MSU,QB,112,191,58.6,1130,5.9,61,6,5,15,113.5
